Week 1 8/23
Dallas,HAzleton,1
Archbishop Wood,Central Dauphin,1
Downingtown West,Neshaminy,1
Harry S. Truman,Academy Park,2
Carlisle,South Western,2
Easton Area,Louis E. Dieruff,1
Wallenpaupack Area,Delaware Valley,2
Father Judge,Cardinal O'Hara,1
Council Rock South,Central Bucks South,2
Moon Area,Pine-Richland,2
Cedar Crest,William Penn,1
Freedom,Parkland,1
North Penn,Pennsbury,1
Lebanon,Pequea Valley,1
William Tennent,Council Rock North,1
Emmaus,Whitehall,1
Hatboro-Horsham,Souderton,2
Central Dauphin,Manheim Township,2
Allentown Central Catholic,Nazareth,2
Boyertown,Pottsgrove,2
Northampton,Pleasant Valley,1
Hempfield,Central York,2
Ridley,Strath Haven,2
North Allegheny,Central Catholic,1
St. Johns,St Josephs Prep,2

Week 3 9/7
Martin Luther King,Chester,2
Bensalem,Central Bucks East,2
Olney,Frankford,1
Stroudsburg,Pocono Mountains,1
McDowell,SJCI,1
Mavern Prep,La Salle College,2
J.P. McCaskey,Reading,2
Garnet Valley,Lower Merion,1
Upper Darby,Harriton,1
Harrisburg,Cedar Cliff,1

Week 4 9/12
Taylor Allderdice,Westinghouse,2
Samuel Fels,Academy at Palumbo,2

Week 4 9/13
KIPP DuBois Collegiate Academy,George Washington,1
Prep Charter,Abraham Lincoln,2
Central,William Penn,2
Overbrook,South Philadelphia/Furness,2
Episcopal Academy,Northeast,1
West Toronto Prep,Erie,2
State College,Carlisle,1
Spring-Ford,Exeter Township,1
Cedar Crest,J.P. McCaskey,1
Nazareth,Freedom,1
Henderson,Coatesville,2
Owen J. Roberts,Upper Merion Area,1
Twin Valley,Reading,2
Boyertown,Berks Catholic,2
Haverford,Interboro,1
Central Dauphin,Cumberland Valley,1
Penn Manor,Manheim Township,2
Scranton,Wallenpaupack Area,1
Souderton,William Tennent,1
Pocono Mountain West,William Allen,1
Pleasant Valley,Emmaus,2
Council Rock South,Harry S. Truman,2
Canisius,McDowell,2
Northern York,Mifflin County,1
Avon Grove,Bishop Shanahan,1
Conestoga,Ridley,2
Warwick,Hempfield,1
Quakertown,Upper Moreland,1
Penn Wood,Upper Darby,1
Upper Dublin,Hatboro-Horsham,1
Manheim Central,Wilson,2
Cheltenham,Norristown,1
Plymouth Whitemarsh,Wissahickon,1
Pottstown,Methacton,1
Donegal,Lebanon,1
IMG Academy,St. Josephs Prep,1
East Stroudsburg South,Stroudsburg,1
Delaware Valley,Wilkes-Barre,1
Bensalem,Abington,2
Central Catholic,Hempfield Area,1
Perkiomen Valley,Downingtown West,2
Hazleton,Williamsport,2
Central York,Red Lion,1
Norwin,Chartiers Calley,1
South Western,Dallastown,1
Louis E. Dieruff,Pocono Mountain East,2
Neshaminy,Council Rock North,1
Altoona,Chambersburg,2
East Stroudsburg North,Northampton,2
Pennridge,North Penn,2
Liberty,Easton Area,2
Springfield,Garnet Valley,2
Central Bucks West,Central Bucks South,1
Seneca Valley,Mt. Lebanon,2
Pine-Richland,Butler,1
Canon-McMillan,North Allegheny,2

Week 4 9/14
Harrisburg,Central Dauphin East,1
Pennsbury,Central Bucks East,1
Delone Catholic,York County Tech,1
Roman Catholic,SCHA,2
Chester,John Bartram,1
La Salle College,Haverford School,1
Father Judge,Germantown Academy,2
Thomas A. Edison,Kensington,2
Olney,MCNP,2
Parkland,Bethelhem Catholic,2
Downingtown East,East,1

Week 5 9/19
Overbrook,Abraham Lincoln,2
Olney,Boys Latin Charter,1

Week 5 9/20
George Washington,Roxborough,2
Northeast,Martin Luther King,1
Pennridge,Souderton,2
Upper Moreland,Plymouth Whitemarsh,2
Chester,Roman Catholic,2
Norwin,Pine-Richland,2
Central Bucks South,Bensalem,1
Bethlehem Catholic,Nazareth,2
Norristown,Spring-Ford,2
Pocono Mountain East,Stroudsburg,2
Red Lion,South Western,2
State College,Chambersburg,1
Strath Haven,Haverford,2
Hatboro-Horsham,Wissahickon,2
Erie,McDowell,2
Quakertown,Cheltenham,2
Oxford,Downingtown West,2
Carlisle,Central Dauphin,2
Butler,Seneca Valley,2
William Allen,East Stroudsburg South,2
Mifflin County,Shippensburg,2
Parkland,Liberty,1
Warwick,J.P. McCaskey,1
New Oxford,Central York,2
Manheim Township,Cocalico,1
Canon-McMillan,Hempfield Area,1
Kensington,Samuel Fels,1
Freedom,Whitehall,1
Cedar Crest,Hempfield,1
York County Tech,Hanover,2
Emmaus,Easton Area,2
Harry S. Truman,Neshaminy,1
Methacton,Boyertown,2
William Tennent,Central Bucks West,2
Harriton,Conestoga,2
Pennsbury,Council Rock North,1
Avon Grove,Bayard Rustin,2
Abington,Council Rock South,1
Coatesville,Unionville,1
Crestwood,Williamsport,1
Central Dauphin East,Altoona,1
North Allegheny,Mt. Lebanon,1
Marple Newtown,Upper Darby,1
Lancaster Catholic,Lebanon,2
USO (CO-OP),Taylor Allderdice,1
Downingtown East,Great Valley,1
Dallastown,Northeastern,2
Owen J. Roberts,Perkiomen Valley,2
Haverford School,Father Judge,1
Wilkes-Barre,Hazleton,1
Garnet Valley,Radnor,1
Wilson,Penn Manor,1
Ridley,Penncrest,1
Central Catholic,Bethel Park,1
Louis E. Dieruff,Pleasant Valley,1

Week 5 9/21
South Philadelphia/Furness,Frankford,2
Cumberland Valley,Harrisburg,2
Scranton,Abington Heights,1
Central,John Bartram,2
North Pocono,Delaware Valley,2
Reading,Governor Mifflin,2
