Team1,Team2,Winner
Avon Grove,Malvern Prep,2
Harrisburg,State College,1
Cumberland Valley,Carlisle,1
Bishop Shanahan,East,2
Henderson,Downingtown East,2
Roman Catholic,Father Judge,2
Springford,Boyertown,1
Wayne Valley,West Milford,1
Wilson,Hempfield,1
Exeter Township,Reading,1
Norristown,Owen J. Roberts,2
Pope John Paul II,Phoenixville,1


Week 8
Perkiomen Valley,Boyertown,1
Downingtown West,Downingtown East,1
Central Bucks South,Central Bucks East,2
Neshaminy,Bensalem,1
North Penn,Central Bucks West,1
La Salle,Archbishop Wood,2
Pennsbury,Council Rock South,1
Academy Park,Chester,1
Penn Wood,Glen Mills,1
Quakertown,Plymouth Whitemarsh,1
Souderton,Council Rock North,1
Cheltenham,Hatboro-Horsham,2
Wissahickon,Upper Dublin,2
Kennett,Henderson,1
William Tennent,Pennridge,2
Harry S. Truman,Abington,1
Methacton,Norristown,2
Avon Grove,Bishop Shanahan,1
Coatesville,East,1
Harrisburg,Chambersburg,1
Cumberland Valley,Altoona,1
Roman Catholic,Archbishop Ryan,2
Unionville,Bayard Rustin,2
Springford,Owen J. Roberts,1
Wayne Valley,NV - Old Tappan,2
Wilson,Warwick,2
Exeter Township,Twin Valley,1
Pope John Paul II,Pottstown,1


Week 9
Perkiomen Valley,Springford,1
Downingtown West,Bishop Shanahan,1
Central Bucks South,North Penn,2
Neshaminy,Council Rock South,1
La Salle,Roman Catholic,1
Pennsbury,Abington,1
Academy Park,Glen Mills,1
Penn Wood,Chichester,1
Central Bucks East,William Tennent,1
Quakertown,Hatboro-Horsham,1
Souderton,Central Bucks West,2
Wissahickon,Eastern York,1
Upper Moreland,Cheltenham,2
Upper Dublin,Plymouth Whitemarsh,1
Kennett,Oxford,1
Bensalem,Council Rock North,1
Pennridge,Harry S. Truman,2
Methacton,Owen J. Roberts,2
Avon Grove,Coatesville,2
Harrisburg,Carlisle,1
Cumberland Valley,Central Dauphin East,1
Henderson,East,2
Downingtown East,Unionville,1
Wayne Valley,Northern Highlands,2
Wilson,Cedar Crest,1
Exeter Township,Governor Mifflin,2
Norristown,Boyertown,1
Pope John Paul II,Upper Merion,1


Week 10
Perkiomen Valley,Pottsgrove,1
Downingtown West,East,1
Central Bucks South,Souderton,1
Neshaminy,Pennsbury,1
North Penn,William Tennent,1
Academy Park,Penn Wood,2
Central Bucks East,Pennridge,1
Quakertown,Kennett,1
Central Bucks West,Abington,1
Cheltenham,Wissahickon,1
Upper Moreland,Upper Dublin,2
Plymouth Whitemarsh,Hatboro-Horsham,2
Bensalem,Harry S. Truman,2
Council Rock North,Council Rock South,2
Methacton,Phoenixville,2
Avon Grove,Henderson,1
Coatesville,Downingtown East,1
Harrisburg,Hempfield,1
Cumberland Valley,State College,2
Bishop Shanahan,Oxford,1
Unionville,Sun Valley,1
Springford,Pope John Paul II,1
Wayne Valley,Fair Lawn,1
Wilson,J.P. McCaskey,1
Exeter Township,Daniel Boone,1
Norristown,Pottstown,2
Boyertown,Upper Perkiomen,2
Owen J. Roberts,Upper Merion,2
