Date,Visitor/Neutral,PTS,Home/Neutral,PTS
Sat Aug 8 2020,Phoenix Suns,119,Miami Heat,112
Sat Aug 8 2020,Milwaukee Bucks,132,Dallas Mavericks,136
Sun Aug 9 2020,Washington Wizards,103,Oklahoma City Thunder,121
Sun Aug 9 2020,Memphis Grizzlies,99,Toronto Raptors,108
Sun Aug 9 2020,San Antonio Spurs,122,New Orleans Pelicans,113
Sun Aug 9 2020,Orlando Magic,119,Boston Celtics,122
Sun Aug 9 2020,Philadelphia 76ers,121,Portland Trail Blazers,124
Sun Aug 9 2020,Houston Rockets,129,Sacramento Kings,112
Sun Aug 9 2020,Brooklyn Nets,129,Los Angeles Clippers,120
Mon Aug 10 2020,Oklahoma City Thunder,101,Phoenix Suns,128
Mon Aug 10 2020,Dallas Mavericks,122,Utah Jazz,114
Mon Aug 10 2020,Toronto Raptors,114,Milwaukee Bucks,106
Mon Aug 10 2020,Indiana Pacers,92,Miami Heat,114
Mon Aug 10 2020,Denver Nuggets,121,Los Angeles Lakers,124
Tue Aug 11 2020,Brooklyn Nets,108,Orlando Magic,96
Tue Aug 11 2020,Houston Rockets,105,San Antonio Spurs,123
Tue Aug 11 2020,Phoenix Suns,130,Philadelphia 76ers,117
Tue Aug 11 2020,Boston Celtics,122,Memphis Grizzlies,107
Tue Aug 11 2020,Portland Trail Blazers,134,Dallas Mavericks,131
Tue Aug 11 2020,Milwaukee Bucks,126,Washington Wizards,113
Tue Aug 11 2020,New Orleans Pelicans,106,Sacramento Kings,112
Wed Aug 12 2020,Indiana Pacers,108,Houston Rockets,104
Wed Aug 12 2020,Toronto Raptors,125,Philadelphia 76ers,121
Wed Aug 12 2020,Miami Heat,115,Oklahoma City Thunder,116
Wed Aug 12 2020,Los Angeles Clippers,124,Denver Nuggets,111
Thu Aug 13 2020,Washington Wizards,96,Boston Celtics,90
Thu Aug 13 2020,Sacramento Kings,136,Los Angeles Lakers,122
Thu Aug 13 2020,Dallas Mavericks,102,Phoenix Suns,128
Thu Aug 13 2020,Milwaukee Bucks,106,Memphis Grizzlies,119
Thu Aug 13 2020,San Antonio Spurs,112,Utah Jazz,118
Thu Aug 13 2020,New Orleans Pelicans,127,Orlando Magic,133
Thu Aug 13 2020,Portland Trail Blazers,134,Brooklyn Nets,133
Fri Aug 14 2020,Denver Nuggets,109,Toronto Raptors,117
Fri Aug 14 2020,Miami Heat,92,Indiana Pacers,109
Fri Aug 14 2020,Oklahoma City Thunder,103,Los Angeles Clippers,107
Fri Aug 14 2020,Philadelphia 76ers,134,Houston Rockets,96
//
Sat Aug 15 2020,Memphis Grizzlies,122,Portland Trail Blazers,126
//
Mon Aug 17 2020,Utah Jazz,125,Denver Nuggets,135
Mon Aug 17 2020,Brooklyn Nets,110,Toronto Raptors,134
Mon Aug 17 2020,Philadelphia 76ers,101,Boston Celtics,109
Mon Aug 17 2020,Dallas Mavericks,110,Los Angeles Clippers,118
Tue Aug 18 2020,Orlando Magic,122,Milwaukee Bucks,110
