Date,Winner,Pts,Loser,Pts
Oct 3 2020,North Carolina State,30,Pittsburgh,29
Oct 3 2020,Oklahoma State,47,Kansas,7
Oct 3 2020,Southern Methodist,30,Memphis,27
Oct 3 2020,Southern Mississippi,41,North Texas,31
Oct 3 2020,Tennessee,35,Missouri,12
Oct 3 2020,Texas Christian,33,Texas,31
Oct 3 2020,Tulsa,34,Central Florida,26
Oct 3 2020,Virginia Tech,38,Duke,31
Oct 3 2020,West Virginia,27,Baylor,21
Oct 3 2020,Western Kentucky,20,Middle Tennessee State,17
//6
Oct 8 2020,Houston,49,Tulane,31
Oct 9 2020,Georgia Tech,46,Louisville,27
Oct 10 2020,Alabama,63,Mississippi,48
Oct 10 2020,Arkansas State,50,Central Arkansas,27
Oct 10 2020,Army,14,Citadel,9
Oct 10 2020,Auburn,30,Arkansas,28
Oct 10 2020,Boston College,31,Pittsburgh,30
Oct 10 2020,Brigham Young,27,Texas-San Antonio,20
Oct 10 2020,Charlotte,49,North Texas,21
Oct 10 2020,Clemson,42,Miami (FL),17
Oct 10 2020,Duke,38,Syracuse,24
Oct 10 2020,East Carolina,44,South Florida,24
Oct 10 2020,Georgia,44,Tennessee,21
Oct 10 2020,Iowa State,31,Texas Tech,15
Oct 10 2020,Kansas State,21,Texas Christian,14
Oct 10 2020,Kentucky,24,Mississippi State,2
Oct 10 2020,Liberty,40,Louisiana-Monroe,7
Oct 10 2020,Louisiana Tech,21,Texas-El Paso,17
Oct 10 2020,Marshall,38,Western Kentucky,14
Oct 10 2020,Middle Tennessee State,31,Florida International,28
Oct 10 2020,Missouri,45,Louisiana State,41
Oct 10 2020,Navy,31,Temple,29
Oct 10 2020,North Carolina,56,Virginia Tech,45
Oct 10 2020,North Carolina State,38,Virginia,21
Oct 10 2020,Notre Dame,42,Florida State,26
Oct 10 2020,Oklahoma,53,Texas,45
Oct 10 2020,South Carolina,41,Vanderbilt,7
Oct 10 2020,Texas A&M,41,Florida,38
Oct 10 2020,Troy,37,Texas State,17
//7
Oct 14 2020,Coastal Carolina,30,Louisiana,27
Oct 15 2020,Arkansas State,59,Georgia State,52
Oct 16 2020,Brigham Young,43,Houston,26
Oct 16 2020,Southern Methodist,37,Tulane,34
Oct 17 2020,Alabama,41,Georgia,24
Oct 17 2020,Alabama-Birmingham,37,Western Kentucky,14
Oct 17 2020,Arkansas,33,Mississippi,21
Oct 17 2020,Army,28,Texas-San Antonio,16
Oct 17 2020,Clemson,73,Georgia Tech,7
Oct 17 2020,Florida State,31,North Carolina,28
Oct 17 2020,Georgia Southern,41,Massachusetts,0
Oct 17 2020,Kentucky,34,Tennessee,7
Oct 17 2020,Liberty,38,Syracuse,21
Oct 17 2020,Marshall,35,Louisiana Tech,17
Oct 17 2020,Memphis,50,Central Florida,49
Oct 17 2020,Miami (FL),31,Pittsburgh,19
Oct 17 2020,Navy,27,East Carolina,23
Oct 17 2020,North Carolina State,31,Duke,20
Oct 17 2020,North Texas,52,Middle Tennessee State,35
Oct 17 2020,Notre Dame,12,Louisville,7
Oct 17 2020,South Alabama,30,Texas State,20
Oct 17 2020,South Carolina,30,Auburn,22
Oct 17 2020,Temple,39,South Florida,37
Oct 17 2020,Texas A&M,28,Mississippi State,14
Oct 17 2020,Troy,31,Eastern Kentucky,29
Oct 17 2020,Virginia Tech,40,Boston College,14
Oct 17 2020,Wake Forest,40,Virginia,23
Oct 17 2020,West Virginia,38,Kansas,17
//8
//Oct 22  2020,Arkansas State,,Appalachian State,
//Oct 22  2020,Louisiana-Monroe,,South Alabama,
//Oct 23 2020,Illinois,,Wisconsin,
//Oct 23 2020,Jacksonville State,,Florida International,
//Oct 23 2020,Louisiana,,Alabama-Birmingham,
//Oct 23 2020,Tulsa,,South Florida,
//Oct 24 2020,Air Force,,San Jose State,
//Oct 24 2020,Alabama,,Tennessee,
//Oct 24 2020,Arkansas State,,Appalachian State,
//Oct 24 2020,Auburn,,Mississippi,
//Oct 24 2020,Baylor,,Texas,
//Oct 24 2020,Chattanooga,,Western Kentucky,
//Oct 24 2020,Cincinnati,,Southern Methodist,
//Oct 24 2020,Florida Atlantic,,Marshall,
//Oct 24 2020,Florida State,,Louisville,
//Oct 24 2020,Georgia,,Kentucky,
//Oct 24 2020,Georgia Southern,,Coastal Carolina,
//Oct 24 2020,Georgia State,,Troy,
//Oct 24 2020,Georgia Tech,,Boston College,
//Oct 24 2020,Hawaii,,Fresno State,
//Oct 24 2020,Houston,,Navy,
//Oct 24 2020,Iowa,,Purdue,
//Oct 24 2020,Iowa State,,Oklahoma State,
//Oct 24 2020,Kansas,,Kansas State,
//Oct 24 2020,Louisiana Tech,,Texas-San Antonio,
//Oct 24 2020,Maryland,,Northwestern,
//Oct 24 2020,Mercer,,Army,
//Oct 24 2020,Michigan,,Minnesota,
//Oct 24 2020,Middle Tennessee State,,Rice,
//Oct 24 2020,Missouri,,Florida,
//Oct 24 2020,Nebraska,,Ohio State,
//Oct 24 2020,Nevada-Las Vegas,,San Diego State,
//Oct 24 2020,New Mexico,,Colorado State,
//Oct 24 2020,North Carolina State,,North Carolina,
//Oct 24 2020,Notre Dame,,Pittsburgh,
//Oct 24 2020,Oklahoma,,Texas Christian,
//Oct 24 2020,Penn State,,Indiana,
//Oct 24 2020,Rutgers,,Michigan State,
//Oct 24 2020,South Carolina,,Louisiana State,
//Oct 24 2020,Southern Mississippi,,Liberty,
//Oct 24 2020,Syracuse,,Clemson,
//Oct 24 2020,Temple,,Memphis,
//Oct 24 2020,Texas State,,Brigham Young,
//Oct 24 2020,Texas-El Paso,,Charlotte,
//Oct 24 2020,Tulane,,Central Florida,
//Oct 24 2020,Utah State,,Boise State,
//Oct 24 2020,Virginia,,Miami (FL),
//Oct 24 2020,Virginia Tech,,Wake Forest,
//Oct 24 2020,West Virginia,,Texas Tech,
//Oct 24 2020,Wyoming,,Nevada,
//9
//Oct 29 2020,Coastal Carolina,,Georgia State,
//Oct 29 2020,Colorado State,,Fresno State,
//Oct 29 2020,South Alabama,,Georgia Southern,
//Oct 30 2020,East Carolina,,Tulsa,
//Oct 30 2020,Hawaii,,Wyoming,
//Oct 30 2020,Marshall,,Florida International,
//Oct 30 2020,Minnesota,,Maryland,
//Oct 31 2020,Alabama-Birmingham,,Louisiana Tech,
//Oct 31 2020,Appalachian State,,Louisiana-Monroe,
//Oct 31 2020,Arkansas,,Texas A&M,
//Oct 31 2020,Boise State,,Air Force,
//Oct 31 2020,Boston College,,Clemson,
//Oct 31 2020,Central Florida,,Houston,
//Oct 31 2020,Charlotte,,Duke,
//Oct 31 2020,Indiana,,Rutgers,
//Oct 31 2020,Iowa State,,Kansas,
//Oct 31 2020,Kansas State,,West Virginia,
//Oct 31 2020,Kentucky,,Missouri,
//Oct 31 2020,Louisiana,,Texas State,
//Oct 31 2020,Louisiana State,,Auburn,
//Oct 31 2020,Memphis,,Cincinnati,
//Oct 31 2020,Michigan State,,Michigan,
//Oct 31 2020,Mississippi,,Vanderbilt,
//Oct 31 2020,Mississippi State,,Alabama,
//Oct 31 2020,Navy,,Southern Methodist,
//Oct 31 2020,Nevada,,Nevada-Las Vegas,
//Oct 31 2020,North Carolina,,Virginia,
//Oct 31 2020,North Texas,,Texas-El Paso,
//Oct 31 2020,Northwestern,,Iowa,
//Oct 31 2020,Notre Dame,,Georgia Tech,
//Oct 31 2020,Ohio State,,Penn State,
//Oct 31 2020,Oklahoma,,Texas Tech,
//Oct 31 2020,Purdue,,Illinois,
//Oct 31 2020,Rice,,Southern Mississippi,
//Oct 31 2020,San Diego State,,Utah State,
//Oct 31 2020,San Jose State,,New Mexico,
//Oct 31 2020,Temple,,Tulane,
//Oct 31 2020,Texas,,Oklahoma State,
//Oct 31 2020,Texas Christian,,Baylor,
//Oct 31 2020,Texas-San Antonio,,Florida Atlantic,
//Oct 31 2020,Troy,,Arkansas State,
//Oct 31 2020,Virginia Tech,,Louisville,
//Oct 31 2020,Wake Forest,,Syracuse,
//Oct 31 2020,Western Kentucky,,Brigham Young,
//Oct 31 2020,Wisconsin,,Nebraska,
//10
//Nov 4 2020,Ball State,,Miami (OH),
//Nov 4 2020,Bowling Green State,,Toledo,
//Nov 4 2020,Buffalo,,Northern Illinois,
//Nov 4 2020,Eastern Michigan,,Kent State,
//Nov 4 2020,Ohio,,Central Michigan,
//Nov 4 2020,Western Michigan,,Akron,
//Nov 5 2020,Arkansas State,,Louisiana,
//Nov 5 2020,Southern Methodist,,Temple,
//Nov 5 2020,Utah State,,Nevada,
//Nov 5 2020,Wyoming,,Colorado State,
//Nov 6 2020,Brigham Young,,Boise State,
//Nov 6 2020,Miami (FL),,North Carolina State,
//Nov 6 2020,San Jose State,,San Diego State,
//Nov 7 2020,Air Force,,Army,
//Nov 7 2020,Appalachian State,,Texas State,
//Nov 7 2020,Arizona,,Utah,
//Nov 7 2020,Arizona State,,Southern California,
//Nov 7 2020,Baylor,,Iowa State,
//Nov 7 2020,Boston College,,Syracuse,
//Nov 7 2020,Charlotte,,Middle Tennessee State,
//Nov 7 2020,Clemson,,Notre Dame,
//Nov 7 2020,Florida,,Georgia,
//Nov 7 2020,Florida International,,Texas-El Paso,
//Nov 7 2020,Fresno State,,Nevada-Las Vegas,
//Nov 7 2020,Houston,,Cincinnati,
//Nov 7 2020,Kansas,,Oklahoma,
//Nov 7 2020,Liberty,,Virginia Tech,
//Nov 7 2020,Louisiana Tech,,North Texas,
//Nov 7 2020,Louisiana-Monroe,,Georgia State,
//Nov 7 2020,Louisville,,Virginia,
//Nov 7 2020,Maryland,,Penn State,
//Nov 7 2020,Michigan,,Indiana,
//Nov 7 2020,Michigan State,,Iowa,
//Nov 7 2020,Minnesota,,Illinois,
//Nov 7 2020,Nebraska,,Northwestern,
//Nov 7 2020,New Mexico,,Hawaii,
//Nov 7 2020,North Carolina,,Duke,
//Nov 7 2020,Oklahoma State,,Kansas State,
//Nov 7 2020,Pittsburgh,,Florida State,
//Nov 7 2020,Purdue,,Wisconsin,
//Nov 7 2020,Rutgers,,Ohio State,
//Nov 7 2020,South Alabama,,Coastal Carolina,
//Nov 7 2020,South Florida,,Memphis,
//Nov 7 2020,Stanford,,Oregon,
//Nov 7 2020,Tennessee,,Arkansas,
//Nov 7 2020,Texas A&M,,South Carolina,
//Nov 7 2020,Texas Tech,,Texas Christian,
//Nov 7 2020,Texas-San Antonio,,Rice,
//Nov 7 2020,Troy,,Georgia Southern,
//Nov 7 2020,Tulane,,East Carolina,
//Nov 7 2020,Tulsa,,Navy,
//Nov 7 2020,UCLA,,Colorado,
//Nov 7 2020,Vanderbilt,,Mississippi State,
//Nov 7 2020,Washington,,California,
//Nov 7 2020,Washington State,,Oregon State,
//Nov 7 2020,West Virginia,,Texas,
//Nov 7 2020,Western Kentucky,,Florida Atlantic,
//11
//Nov 10 2020,Akron,,Ohio,
//Nov 10 2020,Kent State,,Bowling Green State,
//Nov 10 2020,Miami (OH),,Buffalo,
//Nov 11 2020,Central Michigan,,Northern Illinois,
//Nov 11 2020,Eastern Michigan,,Ball State,
//Nov 11 2020,Toledo,,Western Michigan,
//Nov 12 2020,Colorado State,,Boise State,
//Nov 13 2020,East Carolina,,Cincinnati,
//Nov 13 2020,Florida Atlantic,,Florida International,
//Nov 13 2020,Iowa,,Minnesota,
//Nov 13 2020,Utah,,UCLA,
//Nov 14 2020,Air Force,,Wyoming,
//Nov 14 2020,Alabama,,Louisiana State,
//Nov 14 2020,Arkansas,,Florida,
//Nov 14 2020,Army,,Tulane,
//Nov 14 2020,Auburn,,Mississippi State,
//Nov 14 2020,Baylor,,Texas Tech,
//Nov 14 2020,California,,Arizona State,
//Nov 14 2020,Coastal Carolina,,Troy,
//Nov 14 2020,Colorado,,Stanford,
//Nov 14 2020,Florida State,,North Carolina State,
//Nov 14 2020,Fresno State,,Utah State,
//Nov 14 2020,Georgia,,Missouri,
//Nov 14 2020,Georgia State,,Appalachian State,
//Nov 14 2020,Hawaii,,San Diego State,
//Nov 14 2020,Illinois,,Rutgers,
//Nov 14 2020,Indiana,,Michigan State,
//Nov 14 2020,Louisiana-Monroe,,Arkansas State,
//Nov 14 2020,Memphis,,Navy,
//Nov 14 2020,Miami (FL),,Virginia Tech,
//Nov 14 2020,Middle Tennessee State,,Marshall,
//Nov 14 2020,Nevada,,New Mexico,
//Nov 14 2020,Nevada-Las Vegas,,San Jose State,
//Nov 14 2020,North Texas,,Alabama-Birmingham,
//Nov 14 2020,Northwestern,,Purdue,
//Nov 14 2020,Notre Dame,,Boston College,
//Nov 14 2020,Ohio State,,Maryland,
//Nov 14 2020,Oregon,,Washington State,
//Nov 14 2020,Oregon State,,Washington,
//Nov 14 2020,Penn State,,Nebraska,
//Nov 14 2020,Pittsburgh,,Georgia Tech,
//Nov 14 2020,Rice,,Louisiana Tech,
//Nov 14 2020,South Alabama,,Louisiana,
//Nov 14 2020,South Carolina,,Mississippi,
//Nov 14 2020,South Florida,,Houston,
//Nov 14 2020,Southern California,,Arizona,
//Nov 14 2020,Southern Methodist,,Tulsa,
//Nov 14 2020,Southern Mississippi,,Western Kentucky,
//Nov 14 2020,Temple,,Central Florida,
//Nov 14 2020,Texas A&M,,Tennessee,
//Nov 14 2020,Texas Christian,,West Virginia,
//Nov 14 2020,Texas State,,Georgia Southern,
//Nov 14 2020,Texas-El Paso,,Texas-San Antonio,
//Nov 14 2020,Vanderbilt,,Kentucky,
//Nov 14 2020,Wake Forest,,North Carolina,
//Nov 14 2020,Western Carolina,,Liberty,
//Nov 14 2020,Wisconsin,,Michigan,
//12
//Nov 17 2020,Akron,,Kent State,
//Nov 17 2020,Buffalo,,Bowling Green State,
//Nov 17 2020,Ohio,,Miami (OH),
//Nov 18 2020,Northern Illinois,,Ball State,
//Nov 18 2020,Toledo,,Eastern Michigan,
//Nov 18 2020,Western Michigan,,Central Michigan,
//Nov 19 2020,Utah State,,Wyoming,
//Nov 20 2020,New Mexico,,Air Force,
//Nov 20 2020,Purdue,,Minnesota,
//Nov 20 2020,Syracuse,,Louisville,
//Nov 20 2020,UCLA,,Oregon,
//Nov 21 2020,Abilene Christian,,Virginia,
//Nov 21 2020,Alabama-Birmingham,,Texas-El Paso,
//Nov 21 2020,Appalachian State,,Coastal Carolina,
//Nov 21 2020,Arizona,,Washington,
//Nov 21 2020,Arizona State,,Colorado,
//Nov 21 2020,Arkansas State,,Texas State,
//Nov 21 2020,Boise State,,Hawaii,
//Nov 21 2020,California,,Oregon State,
//Nov 21 2020,Central Arkansas,,Louisiana,
//Nov 21 2020,Charlotte,,Marshall,
//Nov 21 2020,Cincinnati,,Central Florida,
//Nov 21 2020,Clemson,,Florida State,
//Nov 21 2020,East Carolina,,Temple,
//Nov 21 2020,Florida,,Vanderbilt,
//Nov 21 2020,Florida International,,Western Kentucky,
//Nov 21 2020,Georgia Southern,,Army,
//Nov 21 2020,Georgia State,,South Alabama,
//Nov 21 2020,Georgia Tech,,Miami (FL),
//Nov 21 2020,Houston,,Southern Methodist,
//Nov 21 2020,Illinois,,Nebraska,
//Nov 21 2020,Indiana,,Ohio State,
//Nov 21 2020,Iowa,,Penn State,
//Nov 21 2020,Kansas State,,Iowa State,
//Nov 21 2020,Kentucky,,Alabama,
//Nov 21 2020,Liberty,,North Carolina State,
//Nov 21 2020,Louisiana State,,Arkansas,
//Nov 21 2020,Louisiana-Monroe,,Louisiana Tech,
//Nov 21 2020,Michigan,,Rutgers,
//Nov 21 2020,Michigan State,,Maryland,
//Nov 21 2020,Middle Tennessee State,,Troy,
//Nov 21 2020,Mississippi,,Texas A&M,
//Nov 21 2020,Mississippi State,,Georgia,
//Nov 21 2020,Missouri,,South Carolina,
//Nov 21 2020,Navy,,South Florida,
//Nov 21 2020,Nevada-Las Vegas,,Colorado State,
//Nov 21 2020,Oklahoma State,,Oklahoma,
//Nov 21 2020,Rice,,North Texas,
//Nov 21 2020,San Diego State,,Nevada,
//Nov 21 2020,San Jose State,,Fresno State,
//Nov 21 2020,Southern California,,Utah,
//Nov 21 2020,Stephen F. Austin,,Memphis,
//Nov 21 2020,Tennessee,,Auburn,
//Nov 21 2020,Texas,,Kansas,
//Nov 21 2020,Texas-San Antonio,,Southern Mississippi,
//Nov 21 2020,Tulane,,Tulsa,
//Nov 21 2020,Virginia Tech,,Pittsburgh,
//Nov 21 2020,Wake Forest,,Duke,
//Nov 21 2020,Washington State,,Stanford,
//Nov 21 2020,Wisconsin,,Northwestern,
//13
//Nov 26 2020,Colorado State,,Air Force,
//Nov 26 2020,New Mexico,,Utah State,
//Nov 27 2020,Central Florida,,South Florida,
//Nov 27 2020,Iowa State,,Texas,
//Nov 27 2020,Louisville,,Boston College,
//Nov 27 2020,Memphis,,Tulane,
//Nov 27 2020,Nebraska,,Iowa,
//Nov 27 2020,Notre Dame,,North Carolina,
//Nov 27 2020,Oregon,,Oregon State,
//Nov 27 2020,San Diego State,,Fresno State,
//Nov 27 2020,Southern Mississippi,,Alabama-Birmingham,
//Nov 27 2020,Stanford,,California,
//Nov 27 2020,Washington,,Washington State,
//Nov 27 2020,Wyoming,,Nevada-Las Vegas,
//Nov 28 2020,Arizona,,UCLA,
//Nov 28 2020,Arkansas,,Missouri,
//Nov 28 2020,Auburn,,Alabama,
//Nov 28 2020,Ball State,,Toledo,
//Nov 28 2020,Bowling Green State,,Ohio,
//Nov 28 2020,Central Michigan,,Eastern Michigan,
//Nov 28 2020,Cincinnati,,Temple,
//Nov 28 2020,Coastal Carolina,,Texas State,
//Nov 28 2020,Colorado,,Southern California,
//Nov 28 2020,Duke,,Georgia Tech,
//Nov 28 2020,Florida Atlantic,,Middle Tennessee State,
//Nov 28 2020,Georgia,,South Carolina,
//Nov 28 2020,Georgia Southern,,Georgia State,
//Nov 28 2020,Kansas State,,Baylor,
//Nov 28 2020,Kent State,,Buffalo,
//Nov 28 2020,Kentucky,,Florida,
//Nov 28 2020,Louisiana,,Louisiana-Monroe,
//Nov 28 2020,Louisiana State,,Texas A&M,
//Nov 28 2020,Louisiana Tech,,Florida International,
//Nov 28 2020,Maryland,,Indiana,
//Nov 28 2020,Miami (FL),,Wake Forest,
//Nov 28 2020,Miami (OH),,Akron,
//Nov 28 2020,Minnesota,,Wisconsin,
//Nov 28 2020,Mississippi State,,Mississippi,
//Nov 28 2020,Nevada,,Hawaii,
//Nov 28 2020,North Carolina State,,Syracuse,
//Nov 28 2020,North Texas,,Texas-San Antonio,
//Nov 28 2020,Northern Illinois,,Western Michigan,
//Nov 28 2020,Northwestern,,Michigan State,
//Nov 28 2020,Ohio State,,Illinois,
//Nov 28 2020,Oklahoma,,West Virginia,
//Nov 28 2020,Penn State,,Michigan,
//Nov 28 2020,Pittsburgh,,Clemson,
//Nov 28 2020,Rutgers,,Purdue,
//Nov 28 2020,San Jose State,,Boise State,
//Nov 28 2020,South Alabama,,Arkansas State,
//Nov 28 2020,Southern Methodist,,East Carolina,
//Nov 28 2020,Tennessee,,Vanderbilt,
//Nov 28 2020,Texas Christian,,Kansas,
//Nov 28 2020,Texas Tech,,Oklahoma State,
//Nov 28 2020,Texas-El Paso,,Rice,
//Nov 28 2020,Troy,,Appalachian State,
//Nov 28 2020,Tulsa,,Houston,
//Nov 28 2020,Utah,,Arizona State,
//Nov 28 2020,Virginia,,Florida State,
//Nov 28 2020,Western Kentucky,,Charlotte,
//14
//Dec 3 2020,Air Force,,Utah State,
//Dec 4 2020,Boise State,,Nevada-Las Vegas,
//Dec 4 2020,Washington State,,Southern California,
//Dec 5 2020,Alabama,,Arkansas,
//Dec 5 2020,Ball State,,Central Michigan,
//Dec 5 2020,Baylor,,Oklahoma,
//Dec 5 2020,Boston College,,Virginia,
//Dec 5 2020,Bowling Green State,,Akron,
//Dec 5 2020,Buffalo,,Ohio,
//Dec 5 2020,Cincinnati,,Tulsa,
//Dec 5 2020,Clemson,,Virginia Tech,
//Dec 5 2020,Colorado,,Arizona,
//Dec 5 2020,Colorado State,,San Diego State,
//Dec 5 2020,Eastern Michigan,,Western Michigan,
//Dec 5 2020,Florida,,Tennessee,
//Dec 5 2020,Florida State,,Duke,
//Dec 5 2020,Fresno State,,Nevada,
//Dec 5 2020,Georgia Tech,,North Carolina State,
//Dec 5 2020,Hawaii,,San Jose State,
//Dec 5 2020,Indiana,,Wisconsin,
//Dec 5 2020,Iowa,,Illinois,
//Dec 5 2020,Kansas,,Texas Tech,
//Dec 5 2020,Kent State,,Miami (OH),
//Dec 5 2020,Liberty,,Coastal Carolina,
//Dec 5 2020,Louisiana-Monroe,,Troy,
//Dec 5 2020,Maryland,,Michigan,
//Dec 5 2020,Mississippi,,Louisiana State,
//Dec 5 2020,Missouri,,Mississippi State,
//Dec 5 2020,Nebraska,,Purdue,
//Dec 5 2020,North Carolina,,Miami (FL),
//Dec 5 2020,Northwestern,,Minnesota,
//Dec 5 2020,Ohio State,,Michigan State,
//Dec 5 2020,Oklahoma State,,Texas Christian,
//Dec 5 2020,Oregon,,California,
//Dec 5 2020,Oregon State,,Utah,
//Dec 5 2020,Penn State,,Rutgers,
//Dec 5 2020,South Carolina,,Kentucky,
//Dec 5 2020,Stanford,,Washington,
//Dec 5 2020,Syracuse,,Notre Dame,
//Dec 5 2020,Texas,,Kansas State,
//Dec 5 2020,Texas A&M,,Auburn,
//Dec 5 2020,Toledo,,Northern Illinois,
//Dec 5 2020,UCLA,,Arizona State,
//Dec 5 2020,Vanderbilt,,Georgia,
//Dec 5 2020,Wake Forest,,Louisville,
//Dec 5 2020,West Virginia,,Iowa State,
//Dec 5 2020,Wyoming,,New Mexico,
//15
//Dec 11 2020,Arizona State,,Arizona,
//Dec 11 2020,Nevada,,San Jose State,
//Dec 11 2020,Utah,,Colorado,
//Dec 11 2020,Western Carolina,,North Carolina,
//Dec 12 2020,Akron,,Buffalo,
//Dec 12 2020,Appalachian State,,Georgia Southern,
//Dec 12 2020,Army,,Navy,
//Dec 12 2020,Boise State,,Wyoming,
//Dec 12 2020,California,,Washington State,
//Dec 12 2020,Central Michigan,,Toledo,
//Dec 12 2020,Fresno State,,New Mexico,
//Dec 12 2020,Illinois,,Northwestern,
//Dec 12 2020,Louisiana State,,Florida,
//Dec 12 2020,Miami (OH),,Bowling Green State,
//Dec 12 2020,Michigan,,Ohio State,
//Dec 12 2020,Michigan State,,Penn State,
//Dec 12 2020,Minnesota,,Nebraska,
//Dec 12 2020,Nevada-Las Vegas,,Hawaii,
//Dec 12 2020,Northern Illinois,,Eastern Michigan,
