Wk,Date,Winner,,Loser
15,Nov 30 2019,Boston College,@,Pittsburgh
15,Nov 30 2019,California,@,UCLA
15,Nov 30 2019,Charlotte,@,Old Dominion
15,Nov 30 2019,Clemson,@,South Carolina
15,Nov 30 2019,Coastal Carolina,,Texas State
15,Nov 30 2019,Duke,,Miami (FL)
15,Nov 30 2019,Florida,,Florida State
15,Nov 30 2019,Florida Atlantic,,Southern Mississippi
15,Nov 30 2019,Georgia,@,Georgia Tech
15,Nov 30 2019,Georgia Southern,,Georgia State
15,Nov 30 2019,Hawaii,,Army
15,Nov 30 2019,Indiana,@,Purdue
15,Nov 30 2019,Kansas State,,Iowa State
15,Nov 30 2019,Kentucky,,Louisville
15,Nov 30 2019,Liberty,,New Mexico State
15,Nov 30 2019,Louisiana,,Louisiana-Monroe
15,Nov 30 2019,Louisiana State,,Texas A&M
15,Nov 30 2019,Louisiana Tech,,Texas-San Antonio
15,Nov 30 2019,Marshall,,Florida International
15,Nov 30 2019,Michigan State,,Maryland
15,Nov 30 2019,Missouri,@,Arkansas
15,Nov 30 2019,Navy,@,Houston
15,Nov 30 2019,Nevada-Las Vegas,@,Nevada
15,Nov 30 2019,North Carolina,@,North Carolina State
15,Nov 30 2019,Northwestern,@,Illinois
15,Nov 30 2019,Notre Dame,@,Stanford
15,Nov 30 2019,Ohio State,@,Michigan
15,Nov 30 2019,Oklahoma,@,Oklahoma State
15,Nov 30 2019,Oregon,,Oregon State
15,Nov 30 2019,Penn State,,Rutgers
15,Nov 30 2019,Rice,@,Texas-El Paso
15,Nov 30 2019,San Diego State,,Brigham Young
15,Nov 30 2019,San Jose State,,Fresno State
15,Nov 30 2019,South Alabama,,Arkansas State
15,Nov 30 2019,Southern Methodist,,Tulane
15,Nov 30 2019,Syracuse,,Wake Forest
15,Nov 30 2019,Temple,,Connecticut
15,Nov 30 2019,Tennessee,,Vanderbilt
15,Nov 30 2019,Tulsa,@,East Carolina
15,Nov 30 2019,Utah,,Colorado
15,Nov 30 2019,Utah State,@,New Mexico
15,Nov 30 2019,Western Kentucky,,Middle Tennessee State
15,Nov 30 2019,Wisconsin,@,Minnesota
16,Dec 6 2019,Oregon,,Utah
16,Dec 7 2019,Appalachian State,,Louisiana
16,Dec 7 2019,Boise State,,Hawaii
16,Dec 7 2019,Clemson,,Virginia
16,Dec 7 2019,Florida Atlantic,,Alabama-Birmingham
16,Dec 7 2019,Louisiana State,,Georgia
16,Dec 7 2019,Memphis,,Cincinnati
16,Dec 7 2019,Miami (OH),,Central Michigan
16,Dec 7 2019,Ohio State,@,Wisconsin
16,Dec 7 2019,Oklahoma,,Baylor
17,Dec 14 2019,Navy,,Army
